{'model_type': 'VGG', 'dataset_type': 'image100', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 37.14 3855.00 5726.00 0.0120 4.6046
2 154.74 156300.00 148966.00 0.0098 4.6035
3 272.95 308745.00 292206.00 0.0118 4.5945
4 391.29 461190.00 435446.00 0.0160 4.5800
5 510.30 613635.00 578686.00 0.0224 4.5703
6 629.89 766080.00 721926.00 0.0228 4.5560
7 750.07 918525.00 865166.00 0.0230 4.5296
8 869.58 1070970.00 1008406.00 0.0302 4.5036
9 988.58 1223415.00 1151646.00 0.0278 4.4846
10 1106.50 1375860.00 1294886.00 0.0340 4.4706
11 1224.69 1528305.00 1438126.00 0.0338 4.4701
12 1340.99 1680750.00 1581366.00 0.0390 4.4299
13 1459.01 1833195.00 1724606.00 0.0440 4.4219
14 1577.28 1985640.00 1867846.00 0.0420 4.4205
15 1695.87 2138085.00 2011086.00 0.0432 4.4148
16 1813.06 2290530.00 2154326.00 0.0468 4.4088
17 1933.59 2442975.00 2297566.00 0.0494 4.3997
18 2051.36 2595420.00 2440806.00 0.0496 4.3870
19 2170.22 2747865.00 2584046.00 0.0520 4.3751
20 2289.18 2900310.00 2727286.00 0.0584 4.3721
21 2408.56 3052755.00 2870526.00 0.0594 4.3113
22 2527.51 3205200.00 3013766.00 0.0692 4.3210
23 2646.30 3357645.00 3157006.00 0.0648 4.2729
24 2763.23 3510090.00 3300246.00 0.0694 4.3176
25 2881.62 3662535.00 3443486.00 0.0750 4.2761
26 2999.65 3814980.00 3586726.00 0.0784 4.2740
27 3118.01 3967425.00 3729966.00 0.0812 4.2244
28 3234.65 4119870.00 3873206.00 0.0878 4.2235
29 3352.67 4272315.00 4016446.00 0.0878 4.1666
30 3472.14 4424760.00 4159686.00 0.0952 4.1828
31 3592.20 4577205.00 4302926.00 0.0992 4.1612
32 3710.60 4729650.00 4446166.00 0.0988 4.1048
33 3829.31 4882095.00 4589406.00 0.1054 4.0658
34 3946.64 5034540.00 4732646.00 0.1052 4.1014
35 4065.56 5186985.00 4875886.00 0.1030 4.0753
36 4184.40 5339430.00 5019126.00 0.1140 4.0752
37 4304.08 5491875.00 5162366.00 0.1150 4.0767
38 4422.63 5644320.00 5305606.00 0.1192 4.0501
39 4542.17 5796765.00 5448846.00 0.1212 4.0260
40 4659.22 5949210.00 5592086.00 0.1238 3.9997
41 4778.58 6101655.00 5735326.00 0.1276 4.0186
42 4895.48 6254100.00 5878566.00 0.1260 3.9817
43 5015.44 6406545.00 6021806.00 0.1266 3.9945
44 5136.68 6558990.00 6165046.00 0.1364 3.9609
45 5259.47 6711435.00 6308286.00 0.1392 3.9384
46 5381.41 6863880.00 6451526.00 0.1472 3.9128
47 5503.31 7016325.00 6594766.00 0.1460 3.9327
48 5623.95 7168770.00 6738006.00 0.1460 3.8956
