{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 3, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 8.27 3855.00 5726.00 0.1000 2.3026
2 53.65 156300.00 148966.00 0.1000 2.3171
3 99.95 308745.00 292206.00 0.1000 2.3462
4 145.99 461190.00 435446.00 0.1000 2.3730
5 192.39 613635.00 578686.00 0.1000 2.3655
6 238.50 766080.00 721926.00 0.0999 2.3668
7 285.45 918525.00 865166.00 0.1000 2.3620
8 332.48 1070970.00 1008406.00 0.1068 2.3521
9 379.08 1223415.00 1151646.00 0.1295 2.3600
10 426.56 1375860.00 1294886.00 0.1480 2.3222
11 473.84 1528305.00 1438126.00 0.1547 2.2912
12 521.26 1680750.00 1581366.00 0.1616 2.1875
13 567.81 1833195.00 1724606.00 0.1627 2.1236
14 614.25 1985640.00 1867846.00 0.1790 2.0716
15 660.83 2138085.00 2011086.00 0.1685 2.0637
16 707.11 2290530.00 2154326.00 0.1978 2.0076
17 754.52 2442975.00 2297566.00 0.1996 2.0326
18 800.62 2595420.00 2440806.00 0.1884 1.9701
19 848.50 2747865.00 2584046.00 0.1838 1.9692
20 895.94 2900310.00 2727286.00 0.2069 1.9545
21 942.19 3052755.00 2870526.00 0.2116 1.9822
22 989.02 3205200.00 3013766.00 0.2069 1.9177
23 1035.60 3357645.00 3157006.00 0.2187 1.9694
24 1081.87 3510090.00 3300246.00 0.2211 1.9258
25 1129.26 3662535.00 3443486.00 0.2219 1.9033
26 1175.40 3814980.00 3586726.00 0.2375 1.9160
27 1222.16 3967425.00 3729966.00 0.2267 1.8815
28 1269.55 4119870.00 3873206.00 0.2336 1.8476
29 1317.34 4272315.00 4016446.00 0.2380 1.8295
30 1364.80 4424760.00 4159686.00 0.2587 1.8294
31 1411.49 4577205.00 4302926.00 0.2587 1.8111
32 1457.61 4729650.00 4446166.00 0.2698 1.7843
33 1503.86 4882095.00 4589406.00 0.2776 1.7712
34 1551.46 5034540.00 4732646.00 0.2762 1.8108
35 1598.74 5186985.00 4875886.00 0.2983 1.7310
36 1645.95 5339430.00 5019126.00 0.2656 1.7730
37 1692.40 5491875.00 5162366.00 0.2910 1.7390
38 1739.13 5644320.00 5305606.00 0.3221 1.7024
39 1786.00 5796765.00 5448846.00 0.3222 1.6858
40 1832.63 5949210.00 5592086.00 0.3182 1.6628
41 1880.71 6101655.00 5735326.00 0.3091 1.6796
42 1927.61 6254100.00 5878566.00 0.3364 1.6301
43 1974.74 6406545.00 6021806.00 0.3138 1.6659
44 2021.86 6558990.00 6165046.00 0.2977 1.7121
45 2069.78 6711435.00 6308286.00 0.3588 1.6003
46 2116.80 6863880.00 6451526.00 0.3485 1.6144
47 2162.71 7016325.00 6594766.00 0.3561 1.6049
48 2209.01 7168770.00 6738006.00 0.3685 1.5861
49 2257.20 7321215.00 6881246.00 0.3542 1.5894
50 2302.36 7473660.00 7024486.00 0.3634 1.5789
51 2348.46 7626105.00 7167726.00 0.3809 1.5506
52 2393.29 7778550.00 7310966.00 0.3785 1.5572
53 2438.25 7930995.00 7454206.00 0.3769 1.5756
54 2483.20 8083440.00 7597446.00 0.3900 1.5424
55 2528.54 8235885.00 7740686.00 0.3932 1.5487
56 2574.71 8388330.00 7883926.00 0.3927 1.5327
57 2620.93 8540775.00 8027166.00 0.3936 1.5309
58 2668.47 8693220.00 8170406.00 0.3926 1.5217
59 2717.28 8845665.00 8313646.00 0.4044 1.5057
60 2764.60 8998110.00 8456886.00 0.4006 1.5087
61 2812.70 9150555.00 8600126.00 0.4071 1.4981
62 2860.82 9303000.00 8743366.00 0.4212 1.4779
63 2909.25 9455445.00 8886606.00 0.4192 1.4790
64 2956.75 9607890.00 9029846.00 0.4161 1.4849
65 3004.46 9760335.00 9173086.00 0.4335 1.4477
66 3052.00 9912780.00 9316326.00 0.4446 1.4326
67 3099.66 10065225.00 9459566.00 0.4384 1.4394
68 3146.48 10217670.00 9602806.00 0.4347 1.4380
69 3193.92 10370115.00 9746046.00 0.4540 1.4068
70 3241.24 10522560.00 9889286.00 0.4354 1.4404
71 3289.99 10675005.00 10032526.00 0.4597 1.3969
72 3336.92 10827450.00 10175766.00 0.4482 1.4105
73 3383.99 10979895.00 10319006.00 0.4513 1.4018
74 3431.28 11132340.00 10462246.00 0.4511 1.3962
75 3477.41 11284785.00 10605486.00 0.4420 1.4411
76 3524.80 11437230.00 10748726.00 0.4486 1.4346
