{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.05 2231.00 4248.00 0.1044 2.3025
2 52.52 88724.00 87640.00 0.1355 2.2979
3 100.58 176397.00 172471.00 0.1895 2.2459
4 149.03 263523.00 256263.00 0.2348 2.0937
5 195.65 350530.00 340017.00 0.2315 2.0997
6 242.33 437491.00 423712.00 0.2671 1.9940
7 289.39 524450.00 507406.00 0.2900 1.9482
8 336.91 611421.00 591116.00 0.2849 1.9323
9 383.98 698269.00 674698.00 0.2823 1.9219
10 431.76 785115.00 758275.00 0.2930 1.9067
11 479.13 872023.00 841890.00 0.3396 1.7992
12 527.09 959029.00 925636.00 0.3577 1.7749
13 575.05 1045964.00 1009326.00 0.3237 1.8204
14 621.94 1132978.00 1093078.00 0.3335 1.7291
15 671.28 1219934.00 1176765.00 0.3918 1.6658
16 719.18 1306924.00 1260499.00 0.4010 1.6271
17 767.56 1394046.00 1344347.00 0.4107 1.6111
18 815.31 1481071.00 1428012.00 0.4464 1.5256
19 863.05 1568025.00 1511708.00 0.4316 1.5220
20 911.03 1654918.00 1595341.00 0.4407 1.4962
21 959.28 1741915.00 1679074.00 0.4396 1.5198
22 1007.00 1828946.00 1762836.00 0.4471 1.5094
23 1056.89 1915988.00 1846593.00 0.4705 1.4368
24 1104.61 2003009.00 1930316.00 0.4877 1.3948
25 1152.45 2090025.00 2014059.00 0.4849 1.4006
26 1201.61 2177116.00 2097845.00 0.5017 1.3696
27 1248.90 2264175.00 2181644.00 0.4965 1.3786
28 1296.15 2351248.00 2265436.00 0.5145 1.3399
29 1343.98 2438356.00 2349250.00 0.5222 1.3089
30 1391.90 2525398.00 2432984.00 0.5279 1.3015
31 1441.05 2612475.00 2516795.00 0.5218 1.2952
32 1488.36 2699255.00 2600402.00 0.5346 1.2831
33 1536.45 2786228.00 2684067.00 0.5479 1.2503
34 1584.21 2873346.00 2767846.00 0.5514 1.2381
35 1631.90 2960457.00 2851640.00 0.5427 1.2678
36 1679.77 3047449.00 2935361.00 0.5329 1.2768
37 1726.78 3134500.00 3019131.00 0.5621 1.2246
38 1773.19 3221532.00 3102877.00 0.5601 1.1930
39 1820.54 3308638.00 3186668.00 0.5726 1.1910
40 1867.26 3395665.00 3270411.00 0.5777 1.1788
