{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.40 3855.00 5726.00 0.0999 2.3037
2 195.32 193270.00 174444.00 0.1421 2.5624
3 334.58 328738.00 303375.00 0.1649 2.5591
4 507.41 486140.00 448993.00 0.1566 2.6115
5 681.45 651810.00 619945.00 0.1643 2.4710
6 841.45 759753.00 754249.00 0.1947 2.5044
7 1027.05 962718.00 947513.00 0.1993 2.4844
8 1212.65 1151661.00 1120656.00 0.2375 2.3655
9 1379.05 1296036.00 1274479.00 0.1912 2.6115
10 1555.11 1460889.00 1441163.00 0.2291 2.5136
11 1688.86 1579014.00 1549603.00 0.2248 2.5610
12 1828.82 1733661.00 1692923.00 0.2188 2.5236
13 1976.39 1857411.00 1811718.00 0.2249 2.5246
14 2172.66 2009628.00 1965766.00 0.2342 2.4957
15 2319.86 2140983.00 2085146.00 0.2195 2.4581
16 2502.26 2300236.00 2236586.00 0.2510 2.3157
17 2669.02 2467153.00 2386686.00 0.2567 2.3311
18 2825.06 2598090.00 2522444.00 0.2559 2.2648
19 2972.26 2743890.00 2670759.00 0.2497 2.3736
20 3122.95 2897207.00 2812385.00 0.2591 2.2154
21 3279.31 2982700.00 2927489.00 0.1889 2.5799
22 3474.51 3168505.00 3088869.00 0.2525 2.2847
23 3634.51 3303349.00 3216117.00 0.2641 2.2547
24 3817.01 3410802.00 3360613.00 0.2708 2.1200
25 4001.91 3584207.00 3530783.00 0.2556 2.1822
26 4152.86 3739640.00 3668407.00 0.2702 2.1837
27 4380.69 3925985.00 3868847.00 0.2605 2.1843
28 4572.69 4088280.00 4025450.00 0.2719 2.1557
29 4723.09 4226325.00 4155116.00 0.2620 2.1356
30 4873.49 4380424.00 4286622.00 0.2801 2.0386
31 5007.89 4505847.00 4404524.00 0.2784 2.0848
32 5151.89 4641148.00 4531156.00 0.2746 2.1677
33 5334.29 4801465.00 4699452.00 0.2846 2.0559
34 5475.09 4936874.00 4837403.00 0.2880 2.1162
35 5606.49 5035519.00 4922363.00 0.2826 2.1612
36 5755.76 5166757.00 5050123.00 0.2948 2.0160
37 5900.08 5313982.00 5189031.00 0.2828 2.0958
38 6054.81 5398823.00 5301311.00 0.2927 2.0751
39 6243.61 5577044.00 5483485.00 0.2900 2.0758
40 6391.31 5692109.00 5609750.00 0.2803 2.1027
41 6612.67 5856174.00 5774967.00 0.2893 2.1347
42 6743.87 5976779.00 5886127.00 0.3069 1.9897
43 6887.87 6112608.00 6018391.00 0.2852 2.2041
44 7047.89 6267542.00 6158281.00 0.3209 1.9200
