{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 7.00 3598.00 5535.00 0.0996 2.3032
2 51.58 120329.00 111611.00 0.1000 2.5994
3 97.48 239235.00 218077.00 0.1171 2.5254
4 142.64 353292.00 322553.00 0.1154 2.4878
5 187.42 475439.00 436846.00 0.1685 2.4260
6 234.15 602962.00 554265.00 0.1546 2.4010
7 278.78 734013.00 673511.00 0.1819 2.3811
8 324.85 869575.00 794415.00 0.1858 2.3627
9 371.24 999096.00 909863.00 0.2039 2.3285
10 418.54 1129611.00 1024916.00 0.2070 2.2515
11 466.11 1253771.00 1137641.00 0.2244 2.2072
12 512.18 1384032.00 1255288.00 0.2151 2.1852
13 558.53 1518989.00 1376072.00 0.2304 2.1351
