{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 3, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 3.61 3491.00 5252.00 0.1000 2.3028
2 63.42 151239.00 144293.00 0.1000 2.4228
3 122.21 299907.00 284092.00 0.1009 2.4949
4 179.25 448569.00 423889.00 0.1287 2.3977
5 235.26 597353.00 563762.00 0.1459 2.3685
6 293.80 744636.00 702200.00 0.1546 2.3638
7 351.91 893356.00 842020.00 0.1876 2.2525
8 408.62 1041892.00 981801.00 0.1803 2.1811
9 466.99 1189473.00 1120669.00 0.2202 2.1238
10 524.52 1336725.00 1259257.00 0.2172 2.0487
11 584.08 1484593.00 1398334.00 0.2219 2.0955
12 642.43 1633281.00 1538193.00 0.2503 1.9575
13 700.01 1780973.00 1677237.00 0.2461 1.9341
14 756.57 1928557.00 1816149.00 0.2364 1.9359
15 814.88 2075878.00 1954775.00 0.2611 1.9888
16 873.10 2223466.00 2093742.00 0.2655 1.8547
17 931.00 2372018.00 2233482.00 0.2813 1.8600
18 988.94 2519512.00 2372370.00 0.2729 1.8144
19 1046.01 2667295.00 2511478.00 0.2841 1.8317
20 1104.84 2814659.00 2650271.00 0.3079 1.7274
21 1161.81 2962575.00 2789517.00 0.3025 1.7525
22 1219.58 3111279.00 2929362.00 0.3343 1.6810
23 1275.58 3259558.00 3068898.00 0.3707 1.6426
24 1333.32 3407602.00 3208020.00 0.3337 1.6851
25 1391.73 3555866.00 3347522.00 0.3232 1.6853
26 1448.75 3703990.00 3486872.00 0.3468 1.6538
27 1506.76 3851225.00 3625573.00 0.3400 1.6880
28 1564.51 3999032.00 3764532.00 0.3970 1.5724
29 1625.39 4146130.00 3903203.00 0.3697 1.6212
30 1682.59 4294368.00 4042801.00 0.3619 1.6359
31 1740.20 4442461.00 4182147.00 0.3869 1.5922
32 1797.86 4589327.00 4320398.00 0.3767 1.6036
33 1855.66 4737419.00 4459768.00 0.4137 1.5359
34 1913.15 4886219.00 4599708.00 0.3966 1.5625
35 1970.51 5035326.00 4739765.00 0.3916 1.5869
36 2031.09 5182168.00 4878108.00 0.3891 1.5866
37 2089.20 5330420.00 5017543.00 0.4293 1.4949
38 2147.84 5478366.00 5156831.00 0.4455 1.4755
39 2205.13 5627861.00 5297286.00 0.4115 1.5423
40 2262.45 5776977.00 5437485.00 0.4208 1.5086
41 2319.00 5925798.00 5577463.00 0.4204 1.5316
42 2377.55 6072850.00 5715939.00 0.4321 1.4851
43 2437.32 6220590.00 5855002.00 0.3893 1.5879
44 2495.87 6368957.00 5994494.00 0.4341 1.4723
45 2554.11 6516903.00 6133558.00 0.4504 1.4504
46 2610.87 6665049.00 6272987.00 0.4410 1.4684
47 2672.14 6812353.00 6411607.00 0.4662 1.4022
48 2730.01 6960639.00 6551028.00 0.4648 1.4071
49 2787.77 7108965.00 6690442.00 0.4541 1.4457
50 2844.93 7255859.00 6828841.00 0.4663 1.4046
51 2903.93 7404038.00 6968066.00 0.4871 1.3781
52 2962.56 7551584.00 7106974.00 0.4764 1.3776
53 3019.52 7700198.00 7246743.00 0.4045 1.5554
54 3076.49 7848403.00 7386113.00 0.4834 1.3542
55 3133.39 7997712.00 7526318.00 0.4684 1.4188
56 3193.44 8144915.00 7664978.00 0.5090 1.3087
57 3251.70 8292610.00 7804015.00 0.5020 1.3181
58 3308.80 8441090.00 7943632.00 0.5025 1.3097
59 3365.68 8588700.00 8082595.00 0.4719 1.3928
60 3423.49 8736706.00 8221806.00 0.4952 1.3399
61 3481.93 8884566.00 8360785.00 0.5089 1.2887
62 3539.76 9032472.00 8500002.00 0.5314 1.2554
63 3598.17 9180237.00 8639012.00 0.5363 1.2596
64 3654.70 9329457.00 8779083.00 0.5011 1.3075
65 3716.63 9475715.00 8916925.00 0.5389 1.2410
66 3775.20 9623154.00 9055736.00 0.5444 1.2300
67 3831.64 9772278.00 9195858.00 0.5428 1.2425
68 3886.67 9920061.00 9334930.00 0.5415 1.2203
69 3944.20 10068607.00 9474748.00 0.5550 1.2213
70 4002.38 10216781.00 9614208.00 0.5715 1.1720
71 4059.80 10364988.00 9753758.00 0.5458 1.2218
72 4116.58 10512837.00 9893067.00 0.5633 1.1868
73 4172.92 10660801.00 10032415.00 0.5406 1.2471
74 4231.90 10808647.00 10171543.00 0.5856 1.1423
75 4288.59 10956711.00 10310950.00 0.5700 1.1583
76 4344.03 11105522.00 10450967.00 0.5839 1.1427
77 4400.35 11252990.00 10589772.00 0.5705 1.1729
78 4457.76 11400900.00 10728846.00 0.3881 1.8524
79 4514.28 11549564.00 10868710.00 0.5854 1.1366
80 4572.72 11697439.00 11007819.00 0.5364 1.2488
81 4630.64 11846192.00 11147507.00 0.5756 1.1555
