{'model_type': 'VGG', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.01, 'decay_rate': 0.993, 'min_lr': 0.0001, 'epoch': 250, 'momentum': 0.9, 'weight_decay': 0.0005, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.86 2503.00 4548.00 0.0004 5.3716
2 28.38 82174.00 80646.00 0.0002 5.3950
3 53.68 161805.00 156719.00 0.0007 5.4115
4 79.29 241510.00 232859.00 0.0001 5.4932
5 104.71 321503.00 309264.00 0.0001 5.5189
6 130.34 401390.00 385573.00 0.0022 5.4266
7 155.84 481019.00 461641.00 0.0017 5.4472
8 181.41 560637.00 537705.00 0.0128 5.2528
9 207.01 640291.00 613798.00 0.0146 5.5086
10 232.81 719931.00 689884.00 0.0009 5.8244
11 258.74 800111.00 766465.00 0.0026 5.8153
12 284.43 879779.00 842574.00 0.0001 6.1304
13 310.16 959489.00 918704.00 0.0124 5.7674
14 335.92 1039142.00 994799.00 0.0259 5.8734
15 362.05 1118802.00 1070893.00 0.0022 6.5652
16 387.77 1198445.00 1146968.00 0.0203 6.4810
17 413.28 1278097.00 1223056.00 0.0178 6.6682
18 438.79 1357763.00 1299160.00 0.0094 6.7227
19 464.67 1437410.00 1375231.00 0.0019 7.1615
20 490.70 1517022.00 1451294.00 0.0117 6.9961
21 516.96 1596694.00 1527390.00 0.0074 7.2184
22 542.47 1676395.00 1603516.00 0.0107 7.2550
23 568.00 1756038.00 1679591.00 0.0105 7.4668
24 593.79 1835750.00 1755735.00 0.0051 7.4000
25 618.70 1915393.00 1831810.00 0.0130 7.3218
26 644.08 1995059.00 1907905.00 0.0053 7.5666
27 669.57 2074702.00 1983980.00 0.0069 7.6054
28 695.48 2154318.00 2060039.00 0.0028 7.7396
29 720.86 2233949.00 2136112.00 0.0079 7.5397
30 746.36 2313594.00 2212192.00 0.0065 7.9103
31 772.59 2393626.00 2288638.00 0.0062 7.9876
32 798.12 2473324.00 2364766.00 0.0018 8.4240
33 823.90 2552969.00 2440846.00 0.0059 8.0657
34 849.34 2632600.00 2516919.00 0.0058 7.8918
35 874.81 2712305.00 2593041.00 0.0076 7.8635
36 900.34 2791965.00 2669135.00 0.0050 8.2949
37 925.57 2871552.00 2745196.00 0.0058 8.3129
38 951.27 2951206.00 2821298.00 0.0032 8.4378
39 976.96 3030745.00 2897309.00 0.0032 8.3625
40 1002.79 3110317.00 2973356.00 0.0086 8.0059
41 1028.52 3190002.00 3049461.00 0.0054 8.3057
42 1053.86 3269639.00 3125535.00 0.0066 8.4136
43 1079.03 3349276.00 3201609.00 0.0044 8.7448
44 1104.52 3428895.00 3277680.00 0.0043 8.6590
45 1130.16 3508532.00 3353754.00 0.0052 8.7162
46 1156.22 3588184.00 3429842.00 0.0041 9.0327
47 1182.03 3667823.00 3505921.00 0.0065 8.5832
48 1208.15 3747458.00 3581990.00 0.0051 8.6116
49 1234.07 3827100.00 3658067.00 0.0061 8.6355
50 1260.40 3906752.00 3734155.00 0.0065 8.9064
51 1286.21 3986412.00 3810249.00 0.0057 8.8197
52 1312.17 4065981.00 3886279.00 0.0080 8.8671
53 1337.98 4145612.00 3962352.00 0.0088 8.4243
54 1363.98 4225229.00 4038418.00 0.0065 8.9269
