{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.21 3181.00 4962.00 0.0967 2.3043
2 22.70 109939.00 106706.00 0.1009 2.7085
3 39.40 222471.00 208195.00 0.1059 2.6405
4 55.39 339234.00 315636.00 0.0996 2.6111
5 71.12 465019.00 432771.00 0.1601 2.5061
6 86.90 584525.00 541588.00 0.1417 2.5708
7 103.57 713168.00 658499.00 0.1640 2.5166
8 119.13 848247.00 782002.00 0.1625 2.5049
9 134.56 981715.00 904358.00 0.1634 2.4797
10 151.44 1112444.00 1023384.00 0.2020 2.4396
11 166.91 1247718.00 1146550.00 0.1630 2.4783
12 182.54 1377283.00 1266449.00 0.2238 2.3564
13 198.58 1506223.00 1384408.00 0.1978 2.3723
14 214.01 1639389.00 1505863.00 0.2175 2.3197
15 229.24 1775575.00 1630565.00 0.2229 2.2908
16 244.58 1911205.00 1753671.00 0.2316 2.2643
17 259.96 2048060.00 1878315.00 0.2336 2.1909
18 275.47 2179781.00 1999982.00 0.2417 2.1342
19 290.61 2312713.00 2122297.00 0.2578 2.1316
20 306.98 2449021.00 2247320.00 0.2512 2.1910
21 322.61 2581158.00 2365718.00 0.2626 2.0817
22 338.07 2717610.00 2489676.00 0.2709 2.0337
23 353.59 2851358.00 2611942.00 0.2653 2.0621
24 369.34 2986019.00 2734164.00 0.2707 2.0794
25 384.90 3120272.00 2853197.00 0.2604 2.0505
26 401.30 3242237.00 2964178.00 0.2793 1.9981
27 417.16 3368801.00 3078121.00 0.2755 1.9849
28 433.27 3502537.00 3199039.00 0.2872 1.9192
29 448.52 3631073.00 3315162.00 0.2851 2.0007
30 463.65 3757857.00 3429700.00 0.2879 1.9999
31 479.11 3893188.00 3554204.00 0.2716 1.9551
32 494.43 4028047.00 3677435.00 0.2876 1.9627
33 509.49 4161058.00 3800506.00 0.2791 1.9675
34 524.52 4293192.00 3920329.00 0.2889 1.9930
35 539.66 4429670.00 4042400.00 0.2887 1.9050
36 555.02 4561900.00 4163615.00 0.3009 1.8716
37 570.34 4694787.00 4285764.00 0.2958 1.9083
38 585.42 4828821.00 4406011.00 0.2953 1.9073
39 600.52 4964595.00 4526225.00 0.3116 1.8336
40 615.63 5103060.00 4651516.00 0.3008 1.8984
41 631.50 5235071.00 4769040.00 0.3098 1.8813
42 647.03 5368704.00 4889642.00 0.3256 1.7983
43 662.63 5503718.00 5011999.00 0.3281 1.8149
44 678.45 5636054.00 5128338.00 0.3188 1.8421
45 695.25 5772933.00 5251943.00 0.3350 1.7919
46 711.13 5907129.00 5373918.00 0.3405 1.8132
47 726.76 6039114.00 5494328.00 0.3449 1.7778
48 742.37 6173201.00 5615704.00 0.3490 1.7585
49 757.96 6309841.00 5739182.00 0.3433 1.7907
50 773.41 6449223.00 5864425.00 0.3343 1.8101
51 788.88 6587376.00 5987801.00 0.3612 1.7429
52 804.96 6724537.00 6110422.00 0.3682 1.7268
53 820.30 6850676.00 6221728.00 0.3677 1.8013
54 836.48 6975987.00 6336460.00 0.3637 1.7250
55 851.72 7101725.00 6451199.00 0.2505 2.3991
56 867.04 7236625.00 6573278.00 0.3234 1.8481
57 883.10 7373230.00 6695990.00 0.3544 1.7405
58 898.54 7508947.00 6819145.00 0.3788 1.6825
59 914.27 7644049.00 6940874.00 0.3780 1.6795
60 930.60 7781712.00 7064641.00 0.3602 1.7997
61 946.03 7918960.00 7189990.00 0.4001 1.6051
62 961.40 8055541.00 7313511.00 0.3906 1.6985
63 976.95 8193504.00 7439264.00 0.4093 1.6403
64 992.42 8333840.00 7566332.00 0.4009 1.6461
65 1007.98 8462434.00 7680053.00 0.4072 1.6342
66 1023.66 8603331.00 7806602.00 0.4105 1.6714
67 1039.28 8744035.00 7932659.00 0.4240 1.6407
68 1054.80 8881232.00 8057972.00 0.4243 1.6042
69 1070.38 9021367.00 8185058.00 0.4040 1.6656
70 1085.82 9161778.00 8312679.00 0.4176 1.6651
71 1102.19 9290217.00 8429177.00 0.4431 1.5882
72 1118.93 9418331.00 8545035.00 0.4415 1.5929
73 1134.30 9552552.00 8666849.00 0.4379 1.6211
74 1149.91 9687024.00 8788278.00 0.4444 1.5859
75 1165.58 9822020.00 8910364.00 0.4471 1.5959
76 1180.97 9953158.00 9029947.00 0.4431 1.6329
77 1196.78 10087960.00 9152755.00 0.3820 1.8904
78 1212.90 10221101.00 9274390.00 0.4418 1.6616
79 1228.39 10355656.00 9396299.00 0.4732 1.5684
80 1243.55 10491682.00 9520534.00 0.4603 1.5487
81 1258.75 10626261.00 9641047.00 0.4657 1.5999
82 1274.23 10760431.00 9761928.00 0.4802 1.5620
83 1289.80 10894854.00 9883365.00 0.4458 1.6939
84 1305.23 11030928.00 10006360.00 0.4701 1.5799
85 1320.46 11158379.00 10121641.00 0.4786 1.5879
86 1335.85 11286576.00 10238149.00 0.4919 1.5322
87 1351.82 11421517.00 10361155.00 0.4836 1.5422
88 1367.64 11555388.00 10482294.00 0.4715 1.6381
89 1382.91 11690411.00 10608249.00 0.4685 1.6010
90 1399.46 11821996.00 10730015.00 0.4591 1.6960
91 1414.75 11954417.00 10851767.00 0.4928 1.5515
92 1429.98 12090496.00 10975551.00 0.4964 1.5923
93 1445.23 12226772.00 11099770.00 0.4750 1.6020
94 1460.64 12361259.00 11220868.00 0.4823 1.6332
95 1476.14 12494117.00 11341483.00 0.4823 1.6941
96 1492.17 12632191.00 11466010.00 0.4696 1.7160
97 1507.38 12768008.00 11589690.00 0.4821 1.7052
98 1523.25 12901489.00 11710067.00 0.4894 1.7166
99 1539.09 13034159.00 11829731.00 0.4989 1.6925
100 1554.39 13170257.00 11953780.00 0.5150 1.5685
101 1569.65 13306155.00 12076457.00 0.4683 1.8562
