{'model_type': 'VGG', 'dataset_type': 'image100', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 36.76 3855.00 5726.00 0.0112 4.6060
2 156.71 156300.00 148966.00 0.0128 4.6030
3 277.40 308745.00 292206.00 0.0126 4.5965
4 396.86 461190.00 435446.00 0.0160 4.5845
5 515.34 613635.00 578686.00 0.0166 4.5784
6 633.41 766080.00 721926.00 0.0186 4.5625
7 752.28 918525.00 865166.00 0.0204 4.5370
8 872.12 1070970.00 1008406.00 0.0264 4.4934
9 991.59 1223415.00 1151646.00 0.0306 4.4885
10 1109.61 1375860.00 1294886.00 0.0322 4.4621
11 11252.65 1528305.00 1438126.00 0.0100 4.6052
