{'model_type': 'CNN', 'dataset_type': 'FashionMNIST', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.02, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 52096}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 5.20 2541.00 4591.00 0.1001 2.3024
2 16.82 91361.00 90961.00 0.5713 1.5918
3 28.43 180254.00 177575.00 0.6504 0.9990
4 40.12 269170.00 264380.00 0.6645 0.8874
5 51.77 357143.00 350738.00 0.7136 0.7875
6 63.78 445849.00 437500.00 0.7262 0.7485
7 75.28 534270.00 523914.00 0.7417 0.6946
8 87.18 621489.00 609748.00 0.7569 0.6666
9 98.41 705639.00 693530.00 0.7415 0.6678
10 109.77 790349.00 778012.00 0.7866 0.5891
11 121.32 874933.00 862402.00 0.7516 0.6261
12 132.59 959404.00 946743.00 0.7982 0.5396
13 144.27 1044474.00 1031425.00 0.7982 0.5452
14 155.93 1131240.00 1117177.00 0.7942 0.5294
15 167.72 1217487.00 1202537.00 0.8144 0.5022
16 179.70 1303770.00 1287912.00 0.7984 0.5230
17 191.30 1389759.00 1373070.00 0.8308 0.4712
18 202.90 1475527.00 1458063.00 0.7851 0.5397
19 214.58 1561055.00 1542876.00 0.8369 0.4451
20 226.20 1646417.00 1627563.00 0.8401 0.4375
21 238.23 1732671.00 1712791.00 0.8446 0.4313
22 250.24 1819068.00 1798113.00 0.8407 0.4441
23 261.87 1904963.00 1883099.00 0.8487 0.4151
24 273.60 1990452.00 1967791.00 0.8341 0.4542
25 285.29 2075807.00 2052433.00 0.8498 0.4134
26 297.40 2161007.00 2136995.00 0.8533 0.4089
27 309.13 2246076.00 2221463.00 0.8538 0.4013
28 320.98 2331092.00 2305887.00 0.8527 0.3989
29 332.66 2416123.00 2390307.00 0.8546 0.3922
30 344.30 2501178.00 2474754.00 0.8569 0.3923
31 356.30 2586184.00 2559172.00 0.8552 0.3995
32 368.03 2671189.00 2643592.00 0.8318 0.4355
33 379.69 2755554.00 2727611.00 0.8487 0.4006
34 391.66 2840564.00 2812034.00 0.8650 0.3727
35 403.70 2925538.00 2896433.00 0.8640 0.3775
36 415.67 3008483.00 2979548.00 0.8653 0.3711
37 427.12 3090994.00 3062386.00 0.8584 0.3895
38 438.86 3173518.00 3145238.00 0.8652 0.3754
39 450.52 3256029.00 3228090.00 0.8709 0.3555
40 462.15 3338555.00 3310947.00 0.8670 0.3596
41 474.03 3421481.00 3394047.00 0.8726 0.3505
42 485.99 3505217.00 3477659.00 0.8617 0.3726
43 497.54 3588962.00 3561279.00 0.8729 0.3514
