{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.58 3304.00 5086.00 0.1027 2.3026
2 69.20 109807.00 98787.00 0.1002 2.3005
3 132.27 216179.00 192299.00 0.1458 2.2733
4 195.09 322504.00 285796.00 0.1409 2.2160
5 257.91 428760.00 379238.00 0.2179 2.0943
6 321.40 535039.00 472677.00 0.2393 2.0212
7 385.02 641292.00 566130.00 0.2623 1.9406
8 448.09 747542.00 659571.00 0.2972 1.8869
9 511.36 853813.00 753027.00 0.2995 1.8591
10 576.10 960100.00 846504.00 0.3118 1.8842
11 640.85 1066355.00 939971.00 0.2923 1.8954
12 704.44 1172619.00 1033451.00 0.3404 1.7662
13 767.44 1278832.00 1126879.00 0.3302 1.8739
14 830.58 1385116.00 1220344.00 0.3539 1.8143
15 894.16 1491377.00 1313780.00 0.3620 1.7761
16 957.67 1597476.00 1407189.00 0.3581 1.8333
17 1021.18 1703690.00 1500624.00 0.3826 1.7013
18 1084.13 1809962.00 1594133.00 0.3804 1.7437
19 1146.87 1916253.00 1687606.00 0.3850 1.7579
20 1210.12 2022542.00 1781074.00 0.4069 1.6534
21 1273.67 2128818.00 1874524.00 0.4343 1.5430
22 1338.82 2235113.00 1968007.00 0.4372 1.5552
23 1403.31 2341367.00 2061490.00 0.4650 1.4794
24 1469.21 2447628.00 2154981.00 0.4667 1.4844
25 1532.81 2553908.00 2248427.00 0.4790 1.4320
26 1596.48 2660185.00 2341884.00 0.4927 1.3997
27 1659.64 2766474.00 2435398.00 0.4978 1.3891
28 1722.97 2872757.00 2528911.00 0.5181 1.3355
29 1786.30 2979034.00 2622400.00 0.5027 1.3801
30 1849.99 3085271.00 2715864.00 0.5034 1.3754
31 1914.12 3191571.00 2809350.00 0.5308 1.3083
32 1979.15 3297773.00 2902783.00 0.5262 1.3391
33 2042.86 3403990.00 2996230.00 0.5515 1.2646
34 2106.43 3510252.00 3089714.00 0.5482 1.2855
35 2171.94 3616536.00 3183234.00 0.5680 1.2228
36 2238.02 3722849.00 3276766.00 0.5536 1.2909
37 2301.57 3829132.00 3370265.00 0.5832 1.1770
38 2364.63 3935436.00 3463811.00 0.5856 1.1781
39 2427.85 4041726.00 3557387.00 0.5440 1.3586
