{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 7.93 2410.00 4517.00 0.0978 2.3027
2 33.89 80706.00 79459.00 0.1281 2.2979
3 60.12 159199.00 154565.00 0.1000 2.3102
4 86.12 237450.00 229474.00 0.2176 2.0874
5 113.57 315789.00 304425.00 0.1065 2.2784
6 140.57 393987.00 379313.00 0.2521 1.9927
7 166.84 472040.00 454091.00 0.2738 1.9117
8 192.86 550418.00 529074.00 0.2968 1.8912
9 219.11 628750.00 604008.00 0.2084 2.0510
10 245.11 707027.00 678930.00 0.3067 1.8625
11 271.75 785349.00 753871.00 0.3289 1.8288
12 297.84 863664.00 828809.00 0.3497 1.7478
13 324.19 941761.00 903622.00 0.2991 1.8447
14 350.26 1020036.00 978544.00 0.3771 1.7006
15 376.42 1098367.00 1053475.00 0.3807 1.6987
16 402.58 1176773.00 1128481.00 0.3988 1.5981
17 429.00 1255065.00 1203417.00 0.4098 1.6270
18 455.06 1333436.00 1278419.00 0.4253 1.5506
19 481.43 1411800.00 1353404.00 0.4239 1.6264
20 507.98 1490108.00 1428375.00 0.4430 1.5064
21 534.21 1568534.00 1503425.00 0.4650 1.4635
22 561.10 1646856.00 1578371.00 0.4571 1.4750
23 587.54 1725165.00 1653303.00 0.4758 1.4311
24 613.64 1803609.00 1728320.00 0.4806 1.4318
25 639.82 1882003.00 1803278.00 0.4777 1.4013
26 665.78 1960430.00 1878285.00 0.5150 1.3255
27 691.81 2038845.00 1953281.00 0.5059 1.3599
28 717.92 2117180.00 2028236.00 0.5222 1.3147
29 744.04 2195629.00 2103247.00 0.5013 1.3479
30 769.95 2274021.00 2178223.00 0.5368 1.2873
31 796.22 2352391.00 2253186.00 0.5362 1.2659
32 822.12 2430661.00 2328119.00 0.5256 1.2770
33 848.24 2509076.00 2403106.00 0.5451 1.2744
34 874.24 2587490.00 2478177.00 0.5509 1.2315
35 901.57 2665743.00 2553086.00 0.5576 1.2149
36 927.71 2743987.00 2627977.00 0.5295 1.2617
37 953.97 2822301.00 2702944.00 0.5701 1.1923
38 981.28 2900561.00 2777879.00 0.5862 1.1550
39 1007.84 2978924.00 2852811.00 0.5754 1.1917
40 1034.17 3057321.00 2927772.00 0.5874 1.1604
41 1060.51 3135724.00 3002757.00 0.5919 1.1476
42 1086.76 3214030.00 3077719.00 0.6127 1.0858
43 1113.35 3292255.00 3152623.00 0.6026 1.1130
44 1139.48 3370593.00 3227603.00 0.6027 1.0927
45 1165.66 3448996.00 3302574.00 0.6213 1.0726
46 1192.13 3527400.00 3377520.00 0.6327 1.0321
47 1218.38 3605832.00 3452553.00 0.6273 1.0559
48 1245.18 3683907.00 3527353.00 0.6316 1.0209
49 1272.54 3762082.00 3602207.00 0.6182 1.0500
50 1299.48 3840462.00 3677204.00 0.6354 1.0142
51 1325.95 3918933.00 3752246.00 0.6345 1.0316
52 1352.16 3997314.00 3827204.00 0.6331 1.0235
53 1378.50 4075531.00 3902102.00 0.5984 1.1384
54 1404.44 4153886.00 3977042.00 0.6641 0.9472
55 1431.74 4232220.00 4051999.00 0.6736 0.9386
56 1457.90 4310554.00 4126924.00 0.6731 0.9292
57 1484.24 4388876.00 4201870.00 0.6655 0.9371
58 1510.40 4467292.00 4276841.00 0.6704 0.9215
59 1536.56 4545726.00 4351829.00 0.6861 0.8973
60 1562.65 4624135.00 4426783.00 0.6742 0.9122
61 1588.91 4702515.00 4501757.00 0.6715 0.9301
62 1614.94 4780870.00 4576674.00 0.6817 0.9103
63 1641.99 4859161.00 4651594.00 0.6871 0.8937
64 1667.94 4937612.00 4726619.00 0.6936 0.8681
65 1694.14 5015929.00 4801580.00 0.6926 0.8759
66 1720.81 5094300.00 4876509.00 0.6937 0.8751
