{'model_type': 'VGG', 'dataset_type': 'image100', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 1000, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 22.09 2277.00 4384.00 0.0102 4.6279
2 25.21 4291.00 8416.00 0.0106 4.6384
3 28.47 6305.00 12448.00 0.0096 4.6450
4 31.66 8340.00 16495.00 0.0112 4.6576
5 34.90 10381.00 20543.00 0.0082 4.6634
6 38.12 12408.00 24584.00 0.0128 4.6725
7 41.20 14443.00 28631.00 0.0102 4.6571
8 44.70 16555.00 32730.00 0.0140 4.6504
9 47.85 18570.00 36769.00 0.0120 4.6450
10 51.03 20605.00 40816.00 0.0114 4.6341
11 54.26 22646.00 44864.00 0.0114 4.6265
12 57.54 24681.00 48911.00 0.0190 4.6116
13 60.81 26722.00 52959.00 0.0132 4.6162
14 63.99 28757.00 57006.00 0.0188 4.6117
15 67.22 30805.00 61062.00 0.0132 4.6197
16 70.40 32847.00 65117.00 0.0120 4.6116
17 73.65 34882.00 69164.00 0.0158 4.6136
18 76.97 36923.00 73212.00 0.0144 4.6065
