{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.09 3221.00 5010.00 0.1050 2.3025
2 48.59 134864.00 124344.00 0.1001 2.3008
3 92.49 265928.00 242559.00 0.1514 2.2869
4 139.15 395730.00 359389.00 0.1473 2.2642
5 182.66 526707.00 475510.00 0.2483 2.1174
6 225.46 662458.00 596879.00 0.2649 1.9700
7 268.68 795825.00 717021.00 0.2731 1.9543
8 311.40 926845.00 834573.00 0.2975 1.8646
9 354.42 1054459.00 948820.00 0.2113 2.1335
10 397.81 1186843.00 1067084.00 0.2537 1.9244
11 440.14 1318385.00 1185771.00 0.2962 1.9072
12 482.70 1440631.00 1295951.00 0.3034 1.8660
13 526.19 1563985.00 1406606.00 0.3131 1.8060
14 569.57 1692428.00 1521619.00 0.3136 1.8434
15 612.38 1825661.00 1640460.00 0.3452 1.7299
16 654.57 1957540.00 1758212.00 0.3697 1.7047
