{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 7.14 3173.00 4947.00 0.1042 2.3027
2 52.79 107878.00 103537.00 0.1000 2.3001
3 97.29 217607.00 202796.00 0.1466 2.2411
4 140.60 330847.00 306130.00 0.1366 2.2507
5 183.87 445479.00 412358.00 0.1254 2.2652
6 227.31 570294.00 523074.00 0.2483 2.0189
7 271.87 695308.00 636537.00 0.2790 1.9607
8 317.61 824557.00 752351.00 0.2865 1.9559
9 360.69 950720.00 868562.00 0.2855 1.9381
10 402.90 1080999.00 986657.00 0.3250 1.8249
11 445.13 1214408.00 1106714.00 0.3039 1.8689
12 487.99 1342076.00 1222604.00 0.1797 2.2329
13 530.76 1471682.00 1338338.00 0.2938 1.9125
14 574.76 1598975.00 1451073.00 0.3255 1.8195
15 619.01 1727336.00 1566432.00 0.3397 1.7532
16 664.03 1854988.00 1680873.00 0.3685 1.7270
17 706.30 1984681.00 1797164.00 0.3898 1.6999
