{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 9.70 3047.00 4812.00 0.1002 2.3028
2 24.37 137836.00 126245.00 0.1052 2.3028
3 39.34 264228.00 240944.00 0.0983 2.3028
4 53.89 395174.00 358893.00 0.1003 2.3028
5 68.71 521246.00 472737.00 0.0959 2.3028
6 83.21 655897.00 594056.00 0.1005 2.3028
7 98.03 788683.00 713912.00 0.1012 2.3028
8 113.50 920683.00 832499.00 0.1007 2.3028
9 129.19 1050070.00 949608.00 0.1019 2.3028
10 144.95 1181074.00 1068378.00 0.1010 2.3028
11 159.96 1312146.00 1187339.00 0.0973 2.3027
12 174.72 1446127.00 1308038.00 0.0991 2.3028
13 189.62 1576109.00 1425763.00 0.1011 2.3028
14 204.15 1706124.00 1543320.00 0.1030 2.3028
15 219.10 1836483.00 1660844.00 0.0972 2.3028
16 233.83 1962858.00 1775005.00 0.1020 2.3028
17 248.98 2092897.00 1892753.00 0.0993 2.3028
18 263.76 2222595.00 2010275.00 0.1017 2.3028
19 278.84 2354671.00 2129798.00 0.1042 2.3028
20 293.52 2486817.00 2250021.00 0.0984 2.3028
21 308.65 2619132.00 2370324.00 0.0982 2.3028
22 323.32 2750144.00 2487498.00 0.0966 2.3028
23 338.38 2875531.00 2600260.00 0.0976 2.3027
24 354.07 3006937.00 2718668.00 0.1027 2.3027
25 370.49 3141282.00 2839107.00 0.1003 2.3028
26 386.44 3273741.00 2956330.00 0.1009 2.3028
27 401.35 3408674.00 3076820.00 0.1005 2.3027
28 416.12 3541690.00 3196776.00 0.0995 2.3027
29 431.04 3673715.00 3315918.00 0.1012 2.3028
30 445.47 3807063.00 3436265.00 0.0997 2.3027
31 460.33 3938272.00 3556015.00 0.0973 2.3029
32 474.84 4069589.00 3674937.00 0.0972 2.3028
33 489.65 4201190.00 3793676.00 0.0995 2.3028
34 504.04 4333808.00 3913175.00 0.1007 2.3028
35 518.82 4463900.00 4031705.00 0.1020 2.3028
36 533.39 4592646.00 4150621.00 0.0966 2.3028
37 548.28 4721105.00 4269086.00 0.1028 2.3029
38 562.98 4851841.00 4386799.00 0.1007 2.3028
