{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 1, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.82 3768.00 5559.00 0.0998 2.3026
2 44.80 154456.00 147105.00 0.1000 2.3061
3 87.02 305112.00 288595.00 0.1490 2.2303
4 128.85 455825.00 430152.00 0.1885 2.1950
5 171.02 606184.00 571363.00 0.1229 2.2738
6 213.19 756647.00 712691.00 0.2363 2.0467
7 255.71 907221.00 854100.00 0.2846 2.0171
8 297.75 1057828.00 995571.00 0.2690 1.9200
9 340.07 1208357.00 1136947.00 0.2602 1.9659
10 381.92 1359260.00 1278628.00 0.3192 1.8578
11 424.00 1509951.00 1420131.00 0.3234 1.8021
12 465.76 1660645.00 1561641.00 0.3649 1.7598
13 507.74 1811369.00 1703184.00 0.3576 1.7425
14 549.48 1962132.00 1844754.00 0.3844 1.6775
15 591.54 2112998.00 1986385.00 0.3289 1.9156
16 633.26 2263798.00 2127964.00 0.3965 1.6415
17 675.55 2414202.00 2269216.00 0.3989 1.6581
18 717.58 2564815.00 2410678.00 0.4289 1.5357
19 760.21 2715383.00 2552131.00 0.4112 1.5997
20 802.24 2866151.00 2693682.00 0.4319 1.5483
21 845.11 3016900.00 2835250.00 0.2997 1.7890
22 887.36 3167494.00 2976689.00 0.4405 1.4927
23 929.75 3318014.00 3118065.00 0.3619 1.7017
24 971.53 3468795.00 3259647.00 0.4665 1.4421
25 1013.71 3619636.00 3401290.00 0.4812 1.4206
26 1056.00 3770265.00 3542755.00 0.4898 1.4066
27 1098.76 3920818.00 3684130.00 0.4439 1.5124
28 1140.81 4071430.00 3825609.00 0.5042 1.3677
29 1182.98 4222126.00 3967133.00 0.4940 1.3796
30 1224.74 4372834.00 4108651.00 0.5201 1.3125
