{'model_type': 'ResNet', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.01, 'decay_rate': 0.993, 'min_lr': 0.0001, 'epoch': 250, 'momentum': 0.9, 'weight_decay': 0.0005, 'para_nums': 11168832}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.74 2531.00 4571.00 0.0000 5.5560
2 20.86 82222.00 80864.00 0.0000 5.4675
3 38.63 161873.00 157132.00 0.0000 5.4719
4 55.50 241489.00 233328.00 0.0000 5.3277
5 71.90 321119.00 309622.00 0.0025 5.1812
6 88.99 400640.00 385914.00 0.0004 5.3144
7 105.97 480103.00 462228.00 0.0015 5.3706
8 122.89 559549.00 538505.00 0.0000 5.6764
9 139.63 638997.00 614805.00 0.0000 5.7253
10 156.95 718788.00 691262.00 0.0051 5.3923
11 174.97 798816.00 767894.00 0.0001 5.9842
12 192.67 878606.00 844348.00 0.0001 6.0535
13 210.24 958403.00 920778.00 0.0007 5.8456
14 227.89 1038395.00 997326.00 0.0028 5.8733
15 245.63 1118196.00 1073752.00 0.0017 5.9364
16 263.24 1198590.00 1150713.00 0.0004 6.1842
17 280.70 1278513.00 1227376.00 0.0107 5.9961
18 298.10 1357972.00 1303703.00 0.0016 6.4732
19 315.50 1437582.00 1380053.00 0.0032 6.5625
20 333.70 1517204.00 1456442.00 0.0018 6.8099
21 352.07 1596866.00 1532819.00 0.0038 6.8650
22 370.16 1676997.00 1609586.00 0.0079 6.6728
23 388.23 1756972.00 1686138.00 0.0030 6.9729
24 406.26 1836882.00 1762608.00 0.0091 6.8305
25 424.00 1916814.00 1839119.00 0.0031 7.2275
