{'model_type': 'CNN', 'dataset_type': 'FashionMNIST', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.02, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 1000, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 52096}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.18 2502.00 4573.00 0.0644 2.2995
2 7.15 4534.00 8608.00 0.0894 2.2928
3 7.99 7023.00 13181.00 0.1219 2.2825
4 8.96 9055.00 17216.00 0.1842 2.2695
5 9.76 11544.00 21789.00 0.2539 2.2544
6 10.72 13576.00 25824.00 0.2863 2.2379
7 11.53 16065.00 30397.00 0.3451 2.2193
8 12.47 18097.00 34432.00 0.4181 2.1973
9 13.24 20592.00 39006.00 0.4267 2.1728
10 14.18 22624.00 43041.00 0.3565 2.1489
11 14.96 25113.00 47614.00 0.4192 2.1192
12 15.90 27145.00 51649.00 0.4196 2.0876
13 16.69 29634.00 56222.00 0.4609 2.0527
14 17.63 31666.00 60257.00 0.4733 2.0192
15 18.40 34139.00 64818.00 0.4815 1.9790
16 19.35 36179.00 68859.00 0.4673 1.9420
17 20.17 38658.00 73421.00 0.4534 1.9003
18 21.11 40698.00 77462.00 0.4867 1.8499
19 21.88 43171.00 82023.00 0.5442 1.8031
20 22.82 45211.00 86064.00 0.5409 1.7451
21 23.58 47690.00 90626.00 0.5398 1.6929
22 24.55 49730.00 94667.00 0.5337 1.6347
23 25.30 52203.00 99228.00 0.5467 1.5827
24 26.30 54243.00 103269.00 0.5606 1.5383
25 27.08 56716.00 107830.00 0.5694 1.4765
26 28.04 58756.00 111871.00 0.5596 1.4337
27 28.81 61229.00 116432.00 0.5506 1.3834
28 29.78 63269.00 120473.00 0.5812 1.3336
29 30.53 65742.00 125034.00 0.5762 1.2955
30 31.48 67782.00 129075.00 0.6032 1.2644
31 32.24 70261.00 133637.00 0.6008 1.2535
32 33.18 72301.00 137678.00 0.6270 1.2023
33 33.94 74774.00 142239.00 0.6378 1.1755
34 34.90 76814.00 146280.00 0.6220 1.1607
35 35.66 79293.00 150842.00 0.6164 1.1317
36 36.60 81333.00 154883.00 0.6291 1.1211
37 37.36 83812.00 159445.00 0.5994 1.1151
38 38.29 85852.00 163486.00 0.6310 1.0792
39 39.06 88331.00 168048.00 0.6140 1.0749
40 40.01 90371.00 172089.00 0.6585 1.0479
41 40.77 92850.00 176651.00 0.6568 1.0306
42 41.72 94890.00 180692.00 0.6513 1.0196
43 42.49 97363.00 185253.00 0.6604 1.0064
