{'model_type': 'CNN', 'dataset_type': 'FashionMNIST', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.02, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 52096}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.12 2469.00 4533.00 0.1043 2.2823
2 7.06 4510.00 8581.00 0.1049 2.2724
3 7.92 6980.00 13121.00 0.1351 2.2577
4 8.85 9021.00 17169.00 0.1529 2.2402
5 9.68 11482.00 21696.00 0.1725 2.2182
6 10.63 13523.00 25744.00 0.1957 2.1934
7 11.50 15993.00 30284.00 0.2058 2.1670
8 12.47 18034.00 34332.00 0.2917 2.1370
9 13.28 20504.00 38872.00 0.3345 2.1004
10 14.23 22545.00 42920.00 0.4046 2.0653
11 15.02 25014.00 47453.00 0.4797 2.0276
12 15.97 27055.00 51501.00 0.4852 1.9840
13 16.75 29525.00 56041.00 0.4860 1.9306
14 17.72 31566.00 60089.00 0.4083 1.8833
15 18.49 34036.00 64629.00 0.4164 1.8313
16 19.46 36077.00 68677.00 0.4481 1.7807
17 20.28 38547.00 73217.00 0.4897 1.7199
18 21.25 40588.00 77265.00 0.5233 1.6569
19 22.06 43058.00 81805.00 0.5140 1.5993
20 23.02 45099.00 85853.00 0.5260 1.5387
21 23.87 47561.00 90387.00 0.5297 1.4937
22 24.82 49602.00 94435.00 0.5323 1.4461
23 25.62 52071.00 98968.00 0.5602 1.3921
24 26.56 54112.00 103016.00 0.5745 1.3524
25 27.35 56581.00 107549.00 0.5516 1.3320
26 28.29 58622.00 111597.00 0.5936 1.2931
27 29.08 61091.00 116130.00 0.5948 1.2484
28 30.03 63132.00 120178.00 0.6013 1.2294
29 30.83 65596.00 124717.00 0.6073 1.1931
30 31.79 67643.00 128766.00 0.5941 1.1730
31 32.64 70089.00 133302.00 0.6018 1.1532
32 33.60 72148.00 137353.00 0.6369 1.1257
33 34.39 74594.00 141889.00 0.6159 1.1204
34 35.38 76653.00 145940.00 0.6491 1.1006
35 36.18 79093.00 150475.00 0.6512 1.0884
36 37.15 81152.00 154526.00 0.6579 1.0615
37 37.96 83591.00 159054.00 0.6337 1.0420
38 39.06 85650.00 163105.00 0.6654 1.0259
39 39.87 88089.00 167633.00 0.6518 1.0145
40 40.84 90154.00 171685.00 0.6419 1.0064
41 41.63 92588.00 176219.00 0.6208 1.0130
42 42.57 94653.00 180271.00 0.6528 0.9959
43 43.37 97087.00 184805.00 0.6529 0.9862
44 44.31 99152.00 188857.00 0.6484 0.9719
45 45.13 101578.00 193385.00 0.6847 0.9575
46 46.07 103643.00 197437.00 0.6572 0.9658
47 46.89 106069.00 201965.00 0.6531 0.9576
48 47.87 108134.00 206017.00 0.6618 0.9499
49 48.73 110568.00 210551.00 0.6985 0.9332
50 49.67 112633.00 214603.00 0.6995 0.9318
51 50.48 115058.00 219124.00 0.6888 0.9307
52 51.42 117123.00 223176.00 0.6682 0.9204
53 52.20 119556.00 227703.00 0.6708 0.9130
54 53.17 121621.00 231755.00 0.6999 0.9046
55 53.96 124047.00 236283.00 0.6971 0.8992
56 54.92 126112.00 240335.00 0.6636 0.9102
57 55.71 128546.00 244869.00 0.6917 0.8921
58 56.64 130611.00 248921.00 0.6997 0.8879
59 57.44 133037.00 253449.00 0.7054 0.8799
60 58.40 135102.00 257501.00 0.7094 0.8847
61 59.25 137535.00 262028.00 0.7138 0.8729
62 60.20 139600.00 266080.00 0.6901 0.8822
63 60.98 142025.00 270601.00 0.7090 0.8634
64 61.93 144090.00 274653.00 0.6836 0.8693
65 62.71 146529.00 279181.00 0.7000 0.8573
66 63.64 148588.00 283232.00 0.7109 0.8536
67 64.42 151027.00 287760.00 0.7116 0.8544
68 65.36 153092.00 291812.00 0.7046 0.8549
69 66.14 155526.00 296346.00 0.7094 0.8597
70 67.07 157591.00 300398.00 0.7019 0.8548
71 67.86 160016.00 304919.00 0.7109 0.8449
72 68.80 162089.00 308977.00 0.7161 0.8403
73 69.59 164498.00 313486.00 0.7083 0.8425
74 70.55 166571.00 317544.00 0.6801 0.8574
75 71.34 168980.00 322053.00 0.6915 0.8417
76 72.27 171053.00 326111.00 0.7154 0.8310
77 73.05 173463.00 330627.00 0.7095 0.8305
78 73.99 175536.00 334685.00 0.7218 0.8230
79 74.78 177946.00 339201.00 0.7242 0.8108
80 75.72 180025.00 343260.00 0.7197 0.8218
81 76.50 182429.00 347775.00 0.7164 0.8146
82 77.46 184508.00 351834.00 0.7080 0.8187
83 78.23 186912.00 356349.00 0.6953 0.8314
