{'model_type': 'VGG', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.001, 'decay_rate': 0.98, 'min_lr': 0.0001, 'epoch': 250, 'momentum': 0.9, 'weight_decay': 0.0005, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.72 2530.00 4564.00 0.0000 5.4771
2 27.17 81529.00 80231.00 0.0001 5.4692
3 51.68 160858.00 156134.00 0.0002 5.4507
4 76.71 240211.00 232018.00 0.0004 5.4422
5 101.69 320507.00 308592.00 0.0007 5.4418
6 127.10 399976.00 384665.00 0.0004 5.4391
7 152.37 479106.00 460485.00 0.0003 5.4354
8 177.63 558421.00 536454.00 0.0008 5.4110
9 203.08 638377.00 612741.00 0.0009 5.3950
10 228.39 718214.00 689065.00 0.0007 5.3905
11 254.28 798750.00 765877.00 0.0004 5.4162
12 279.19 878732.00 842356.00 0.0011 5.3836
13 304.03 958638.00 918813.00 0.0003 5.4224
14 328.92 1038558.00 995277.00 0.0009 5.4225
15 353.69 1118574.00 1071780.00 0.0004 5.4400
16 378.58 1198627.00 1148273.00 0.0004 5.4435
17 403.60 1278744.00 1224741.00 0.0001 5.4514
18 428.44 1358820.00 1301181.00 0.0005 5.4459
19 453.12 1438803.00 1377530.00 0.0006 5.4321
20 478.44 1518716.00 1453876.00 0.0012 5.4298
21 503.94 1598197.00 1529937.00 0.0014 5.3976
22 528.85 1677710.00 1606040.00 0.0032 5.3747
23 553.76 1757226.00 1682141.00 0.0019 5.3876
24 578.51 1836727.00 1758224.00 0.0026 5.3856
25 603.30 1916286.00 1834372.00 0.0015 5.4016
26 628.37 1995972.00 1910552.00 0.0015 5.3915
27 653.59 2075307.00 1986468.00 0.0014 5.3905
28 679.00 2154942.00 2062596.00 0.0030 5.3654
29 704.58 2234529.00 2138716.00 0.0026 5.3605
30 729.96 2314215.00 2214827.00 0.0042 5.3435
31 755.39 2393556.00 2290814.00 0.0028 5.3398
32 780.61 2472860.00 2366765.00 0.0050 5.3150
33 805.97 2552633.00 2442995.00 0.0074 5.2872
34 831.13 2633392.00 2519782.00 0.0088 5.2831
35 856.14 2713531.00 2596216.00 0.0070 5.2931
36 881.14 2792950.00 2672193.00 0.0058 5.2957
37 905.89 2872646.00 2748288.00 0.0035 5.3337
38 930.78 2952043.00 2824294.00 0.0052 5.3391
39 955.45 3031471.00 2900289.00 0.0042 5.3434
40 980.09 3110982.00 2976328.00 0.0054 5.3427
41 1005.56 3190250.00 3052310.00 0.0048 5.3622
42 1030.33 3269683.00 3128336.00 0.0064 5.3406
43 1055.18 3348998.00 3204333.00 0.0100 5.3391
44 1079.80 3428243.00 3280300.00 0.0083 5.3751
45 1104.39 3507628.00 3356290.00 0.0066 5.3863
46 1129.21 3586881.00 3432216.00 0.0092 5.3853
47 1154.45 3666220.00 3508212.00 0.0083 5.4000
48 1179.41 3745586.00 3584192.00 0.0064 5.4332
49 1204.29 3824899.00 3660156.00 0.0128 5.4118
50 1229.63 3904292.00 3736161.00 0.0107 5.4326
51 1255.18 3983660.00 3812155.00 0.0108 5.4518
52 1280.49 4063031.00 3888147.00 0.0073 5.4771
53 1307.76 4142370.00 3964078.00 0.0078 5.5030
54 1333.05 4221590.00 4039900.00 0.0076 5.5215
55 1360.62 4301161.00 4116004.00 0.0090 5.5318
56 1386.20 4380571.00 4192010.00 0.0093 5.5086
57 1411.46 4459877.00 4267943.00 0.0106 5.5209
58 1436.94 4539277.00 4343988.00 0.0084 5.5617
59 1461.95 4618558.00 4419928.00 0.0068 5.5723
60 1487.40 4697838.00 4495870.00 0.0074 5.5709
61 1512.53 4777004.00 4571683.00 0.0073 5.5950
62 1537.55 4856408.00 4647651.00 0.0073 5.6204
63 1564.43 4935817.00 4723631.00 0.0062 5.6439
64 1589.74 5015089.00 4799595.00 0.0060 5.6386
65 1614.74 5094453.00 4875602.00 0.0077 5.6467
66 1639.88 5173991.00 4951735.00 0.0076 5.6509
67 1664.66 5253470.00 5027819.00 0.0074 5.6743
68 1689.86 5332968.00 5103849.00 0.0088 5.6831
69 1714.94 5412396.00 5179890.00 0.0081 5.6917
70 1740.33 5491806.00 5255905.00 0.0093 5.6796
71 1765.34 5571223.00 5331877.00 0.0079 5.7079
72 1790.19 5650742.00 5407945.00 0.0068 5.7081
73 1815.16 5730226.00 5483977.00 0.0086 5.7010
74 1840.04 5809674.00 5559984.00 0.0107 5.7045
75 1865.07 5889136.00 5636008.00 0.0084 5.7357
76 1890.11 5968537.00 5712010.00 0.0085 5.7270
77 1915.24 6048067.00 5788146.00 0.0063 5.7532
78 1940.26 6127500.00 5864185.00 0.0071 5.7708
79 1965.47 6206893.00 5940167.00 0.0085 5.7894
80 1990.87 6286488.00 6016275.00 0.0084 5.7749
81 2015.60 6366159.00 6092433.00 0.0057 5.7999
82 2040.67 6445700.00 6168514.00 0.0057 5.7994
83 2065.80 6525089.00 6244500.00 0.0061 5.8121
84 2090.79 6604582.00 6320522.00 0.0064 5.8259
85 2115.55 6684286.00 6396701.00 0.0077 5.8194
86 2140.42 6763786.00 6472786.00 0.0086 5.8012
87 2165.63 6843497.00 6549037.00 0.0100 5.7832
88 2190.75 6922964.00 6625091.00 0.0073 5.8130
89 2216.46 7002472.00 6701205.00 0.0077 5.8247
90 2241.77 7081714.00 6777104.00 0.0083 5.8155
91 2266.67 7160951.00 6853032.00 0.0076 5.8254
92 2291.47 7240074.00 6928885.00 0.0075 5.8483
93 2316.75 7319303.00 7004807.00 0.0066 5.8434
94 2341.74 7398667.00 7080832.00 0.0071 5.8618
95 2366.85 7478185.00 7156952.00 0.0052 5.8753
