{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 3, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.89 2543.00 4596.00 0.1000 2.3030
2 4.11 4564.00 8636.00 0.1000 2.3043
3 5.14 7076.00 13197.00 0.1000 2.3060
4 6.33 9103.00 17238.00 0.1000 2.3088
5 7.37 11601.00 21792.00 0.1000 2.3132
6 8.56 13636.00 25839.00 0.1000 2.3196
7 9.59 16118.00 30381.00 0.1000 2.3279
8 10.79 18161.00 34434.00 0.1000 2.3362
9 11.86 20627.00 38964.00 0.1000 2.3469
10 13.05 22678.00 43023.00 0.1000 2.3689
11 14.11 25128.00 47541.00 0.1000 2.3832
12 15.29 27179.00 51600.00 0.1000 2.3820
13 16.32 29629.00 56118.00 0.1000 2.4054
14 17.54 31695.00 60191.00 0.1000 2.4223
15 18.59 34115.00 64681.00 0.1000 2.4713
16 19.80 36195.00 68761.00 0.1000 2.4468
17 20.83 38592.00 73231.00 0.1000 2.4672
18 22.00 40680.00 77317.00 0.1000 2.4629
19 23.04 43070.00 81788.00 0.1000 2.4907
20 24.22 45158.00 85874.00 0.1000 2.4377
21 25.25 47547.00 90338.00 0.1000 2.4701
22 26.44 49636.00 94431.00 0.1000 2.4933
23 27.49 52023.00 98881.00 0.1000 2.4483
24 28.71 54112.00 102974.00 0.1000 2.4567
25 29.76 56499.00 107424.00 0.1000 2.5217
26 30.95 58588.00 111517.00 0.1000 2.4421
27 32.01 60960.00 115953.00 0.1000 2.4801
28 33.18 63064.00 120060.00 0.1000 2.4669
29 34.24 65420.00 124475.00 0.1000 2.4898
30 35.40 67538.00 128589.00 0.1000 2.4515
31 36.46 69880.00 132997.00 0.1000 2.4838
32 37.63 71998.00 137111.00 0.1000 2.4370
33 38.69 74340.00 141519.00 0.1000 2.5104
34 39.84 76458.00 145633.00 0.1000 2.4623
35 40.90 78800.00 150041.00 0.1000 2.4816
36 42.08 80919.00 154162.00 0.1000 2.4589
37 43.14 83243.00 158544.00 0.1000 2.5134
38 44.33 85378.00 162677.00 0.1000 2.4249
39 45.39 87708.00 167060.00 0.1000 2.5605
40 46.55 89843.00 171193.00 0.1000 2.4126
41 47.61 92173.00 175576.00 0.1000 2.5279
42 48.77 94308.00 179709.00 0.1000 2.4210
43 49.83 96632.00 184091.00 0.1000 2.5028
44 50.99 98773.00 188225.00 0.1000 2.4421
45 52.09 101091.00 192606.00 0.1000 2.6970
46 53.25 103238.00 196741.00 0.1000 2.4120
47 54.30 105551.00 201128.00 0.1000 2.4236
48 55.50 107692.00 205262.00 0.1000 2.4456
49 56.56 110011.00 209650.00 0.1000 2.4650
50 57.71 112152.00 213784.00 0.1000 2.5263
51 58.81 114471.00 218172.00 0.1000 2.5311
